CustomerKey,CustomerName,CustomerCountry,CustomerCity,CustomerPostalCode,CustomerStreet,PlantKey,FullAddress,Latitude,Longitude
1,O'Hara-MacGyver,Germany,Hamburg,22041,36 Westport Court,4,"36 Westport Court, Hamburg, 22041, Germany",53.5754959,10.0807485
2,"Smitham, Lind and Lindgren",Germany,München,81679,934 Shelley Lane,4,"934 Shelley Lane, München, 81679, Germany",48.1440135,11.6074275
3,Becker-Heller,Germany,Halle,6116,7576 Browning Terrace,4,"7576 Browning Terrace, Halle, 6116, Germany",51.4787653,12.0365785
4,Runolfsdottir Inc,Germany,Essen,45141,862 Gateway Center,4,"862 Gateway Center, Essen, 45141, Germany",51.4780256,7.0328812
5,Hoppe Group,Germany,Hamburg Sankt Pauli,20459,69815 Ridgeview Center,4,"69815 Ridgeview Center, Hamburg Sankt Pauli, 20459, Germany",53.5472987,9.9778279
6,Pouros-Reinger,Germany,Wuppertal,42285,29 Bowman Point,4,"29 Bowman Point, Wuppertal, 42285, Germany",51.256002,7.1736304
7,Schaden-Kessler,Germany,Dresden,1189,54135 Lake View Parkway,4,"54135 Lake View Parkway, Dresden, 1189, Germany",51.0504088,13.7372621
8,Barrows-Volkman,Belgium,Ninove,9404,78761 Hintze Point,4,"78761 Hintze Point, Ninove, 9404, Belgium",50.8336436,4.0187415
9,"Schulist, Green and Kessler",Germany,Dresden,1462,15723 Bartillon Lane,4,"15723 Bartillon Lane, Dresden, 1462, Germany",51.0504088,13.7372621
10,Windler-Daniel,Germany,Köln,51149,4719 Sycamore Hill,4,"4719 Sycamore Hill, Köln, 51149, Germany",50.9093945,7.0486698
11,Champlin and Sons,Germany,Hamburg,20249,74595 Kinsman Point,4,"74595 Kinsman Point, Hamburg, 20249, Germany",53.5900195,9.9897946
12,"Quitzon, Walter and Kessler",Germany,München,80337,6608 Brickson Park Street,4,"6608 Brickson Park Street, München, 80337, Germany",48.1251024,11.5584376
13,"Murray, Bahringer and Armstrong",Germany,Cottbus,3055,437 Packers Park,4,"437 Packers Park, Cottbus, 3055, Germany",51.7941895,14.3056705
14,"Gutkowski, White and Beatty",Germany,Freiburg im Breisgau,79106,22 Melvin Trail,4,"22 Melvin Trail, Freiburg im Breisgau, 79106, Germany",48.0044582,7.8374651
15,Monahan-Rau,Germany,Hamburg Sankt Pauli,20459,6 Becker Point,4,"6 Becker Point, Hamburg Sankt Pauli, 20459, Germany",53.5472987,9.9778279
16,Kunze-Nikolaus,Germany,Hannover,30453,79 Nevada Trail,4,"79 Nevada Trail, Hannover, 30453, Germany",38.8026097,-116.419389
17,"Veum, Mante and Will",Belgium,Namur,5100,95 Coolidge Court,4,"95 Coolidge Court, Namur, 5100, Belgium",50.4198861,4.9246444
18,Jast-West,Germany,München,80995,370 7th Parkway,4,"370 7th Parkway, München, 80995, Germany",48.2115037,11.5131806
19,"Quigley, Schamberger and O'Keefe",Germany,Lübeck,23568,94466 Menomonie Plaza,4,"94466 Menomonie Plaza, Lübeck, 23568, Germany",53.903083,10.7533775
20,Dooley Group,Germany,Kassel,34132,87424 Bunker Hill Place,4,"87424 Bunker Hill Place, Kassel, 34132, Germany",51.3127114,9.4797461
21,Kris-Deckow,Germany,Hannover,30167,87 6th Pass,4,"87 6th Pass, Hannover, 30167, Germany",52.3863062,9.7156831
22,Sawayn-Langosh,Germany,Stuttgart,70374,8274 Badeau Court,4,"8274 Badeau Court, Stuttgart, 70374, Germany",48.8096645,9.2415192
23,"Lockman, Anderson and Aufderhar",Belgium,Bouillon,6834,815 Lotheville Park,4,"815 Lotheville Park, Bouillon, 6834, Belgium",49.8417042,5.1214901
24,Dach-Hauck,Germany,Frankfurt am Main,60325,43077 North Terrace,4,"43077 North Terrace, Frankfurt am Main, 60325, Germany",50.1109221,8.6821267
25,Crooks and Sons,Germany,Halle,6116,94402 Longview Place,4,"94402 Longview Place, Halle, 6116, Germany",51.4953567,11.9662371
26,Harber Group,Germany,Münster,48161,6 Porter Hill,4,"6 Porter Hill, Münster, 48161, Germany",51.9601912,7.5468477
27,Little-Ankunding,Germany,Frankfurt am Main,60325,5 Banding Pass,4,"5 Banding Pass, Frankfurt am Main, 60325, Germany",50.1157078,8.6591469
28,"Hahn, Torp and Welch",Germany,Neuss,41468,873 Aberg Pass,4,"873 Aberg Pass, Neuss, 41468, Germany",51.1615558,6.774529
29,"Johnson, Legros and Rosenbaum",Germany,Stuttgart,70567,68 Homewood Court,4,"68 Homewood Court, Stuttgart, 70567, Germany",48.7226206,9.1584836
30,"Shields, Harber and Goldner",Germany,Halle,6126,80 Novick Parkway,4,"80 Novick Parkway, Halle, 6126, Germany",51.4790619,11.9027428
31,"Legros, Crona and Rippin",Germany,Hamburg Harvestehude,20249,48499 Drewry Hill,4,"48499 Drewry Hill, Hamburg Harvestehude, 20249, Germany",53.5900195,9.9897946
32,"Carter, Willms and Schneider",Germany,München,81373,6778 Truax Parkway,4,"6778 Truax Parkway, München, 81373, Germany",48.1214727,11.5322563
33,"Terry, Carroll and Gottlieb",Germany,München,80995,6911 Onsgard Street,4,"6911 Onsgard Street, München, 80995, Germany",48.2115037,11.5131806
34,"Ortiz, Stamm and Abshire",Belgium,Charleroi,6042,33 Warrior Crossing,4,"33 Warrior Crossing, Charleroi, 6042, Belgium",50.4315612,4.4472854
